dataset,model,fold,roc_auc,accuracy,f1_weighted
MNIST,xgboost,3,0.9972036198026846,0.935,0.9351383469849514
MNIST,xgboost,4,0.9960285990816891,0.932,0.9319990111415455
HIGGS,xgboost,0,0.7863915041048429,0.72,0.7199426146501423
HIGGS,xgboost,1,0.7660033642138034,0.6945,0.6937161777962694
HIGGS,xgboost,2,0.766499460219427,0.6875,0.686500261864348
HIGGS,xgboost,3,0.7802857071125505,0.709,0.7085322636523308
HIGGS,xgboost,4,0.7863453089302301,0.715,0.7142860168465895
Adult Income,lightgbm,0,0.9284393034105962,0.8680520012283754,0.8638486182743708
Adult Income,lightgbm,1,0.926447353289269,0.8706111167980346,0.8671277203387903
Adult Income,lightgbm,2,0.9263974824266865,0.8718263718263718,0.867532786990653
Adult Income,lightgbm,3,0.9302371145590638,0.8740786240786241,0.8704309702216741
Adult Income,lightgbm,4,0.9319099572866836,0.8769451269451269,0.8733576349330142
Heart Disease,lightgbm,0,0.8733766233766234,0.819672131147541,0.8184886832797643
Heart Disease,lightgbm,1,0.9199134199134198,0.8032786885245902,0.803596664782363
Heart Disease,lightgbm,2,0.8495670995670996,0.7377049180327869,0.7379869557553322
Heart Disease,lightgbm,3,0.8361391694725028,0.6833333333333333,0.6809036658141517
Heart Disease,lightgbm,4,0.8451178451178452,0.75,0.7460477148605921
Mushroom,lightgbm,0,1.0,1.0,1.0
Mushroom,lightgbm,1,1.0,1.0,1.0
Mushroom,lightgbm,2,1.0,1.0,1.0
Mushroom,lightgbm,3,1.0,1.0,1.0
Mushroom,lightgbm,4,0.992157970426862,0.8725369458128078,0.8712037725934493
Telco Customer Churn,lightgbm,0,0.8293032628070991,0.7785663591199432,0.770756997195211
Telco Customer Churn,lightgbm,1,0.8392608953990027,0.7906316536550745,0.7852619501593531
Telco Customer Churn,lightgbm,2,0.8076958846779819,0.7686302342086586,0.7647585179223682
Telco Customer Churn,lightgbm,3,0.8171711284661511,0.7848011363636364,0.7785422819218375
Telco Customer Churn,lightgbm,4,0.8221640687222664,0.7933238636363636,0.785916449831262
Breast Cancer,lightgbm,0,0.9937766131673764,0.9473684210526315,0.9475905673274094
Breast Cancer,lightgbm,1,0.9891909597117589,0.956140350877193,0.9558014271241044
