dataset,model,fold,rmse,mae,r2
Ames House Prices,xgboost,0,23365.711364909832,14957.630986028156,0.927697115647178
Ames House Prices,xgboost,1,19635.618014016727,13201.80316099616,0.9324687437185147
Ames House Prices,xgboost,2,22289.808749400832,13271.01838470563,0.9145667711913352
Ames House Prices,xgboost,3,31019.695307748614,15386.109035036263,0.8589267257152686
Ames House Prices,xgboost,4,18934.666747571762,13384.379016238268,0.9377604689176643
Wine Quality,xgboost,0,0.7904104814270825,0.6193504601108785,0.28370856973538106
Wine Quality,xgboost,1,0.7602379992764596,0.5986151590639232,0.3094748139585085
Wine Quality,xgboost,2,0.7048726517232428,0.5489613348123978,0.37169450880166766
Wine Quality,xgboost,3,0.7165246402652552,0.5599448476310162,0.34361496646948264
Wine Quality,xgboost,4,0.636087375699409,0.5121780971219274,0.32634519868343415
Superconductivity,xgboost,0,10.219990792554679,6.1494484783877015,0.9085713357534174
Superconductivity,xgboost,1,10.173649366922907,5.945746016309995,0.9097852287134702
Superconductivity,xgboost,2,10.679356698235813,6.113438209487491,0.9046140126396319
Superconductivity,xgboost,3,10.774244592559842,6.221084288103039,0.90276815227914
Superconductivity,xgboost,4,9.608682254634934,5.726113682691206,0.9203288981777414
California Housing,lightgbm,0,0.6279161969392134,0.47169833391810717,0.63298060861315
California Housing,lightgbm,1,0.5800797799829274,0.3965449087309183,0.7125378871978116
California Housing,lightgbm,2,0.5905410337756153,0.4295350163321997,0.7575729631412608
California Housing,lightgbm,3,0.5982601830617728,0.4181642305831329,0.6949198715808551
California Housing,lightgbm,4,0.6950063827063299,0.4846972514431302,0.6685097324928182
Ames House Prices,lightgbm,0,22829.37293929371,14880.82940994474,0.9309783124860149
Ames House Prices,lightgbm,1,20205.053656458582,13476.989719039088,0.9284951178154629
Ames House Prices,lightgbm,2,22879.918078537798,13325.185497857812,0.9099833044917731
Ames House Prices,lightgbm,3,31746.1346822796,15867.901398816972,0.8522418653038014
Ames House Prices,lightgbm,4,20577.57166883029,13876.291950470486,0.9264912181152343
Wine Quality,lightgbm,0,0.7860374798262277,0.6203265315948486,0.29161251000193233
Wine Quality,lightgbm,1,0.7629144325504753,0.6000014818981254,0.3046042397397771
Wine Quality,lightgbm,2,0.7081167510915483,0.5574927688843354,0.3658977852796442
Wine Quality,lightgbm,3,0.7245889541466878,0.5678347546760311,0.32875690849304995
Wine Quality,lightgbm,4,0.6318063360138868,0.5056338198760871,0.3353824416518735
Superconductivity,lightgbm,0,10.098852942090293,5.8292622673750225,0.910725903821987
Superconductivity,lightgbm,1,10.01083815749906,5.702922635048145,0.9126495791537392
Superconductivity,lightgbm,2,10.793182320429471,5.942993968529687,0.9025698387908051
Superconductivity,lightgbm,3,10.29378793282431,5.914995828316285,0.9112465361431884
Superconductivity,lightgbm,4,9.517211173633417,5.466648845675872,0.9218385566276319
