dataset,model,fold,roc_auc,accuracy,f1_weighted
Credit Card Fraud,adaboost,4,0.9734468937875751,0.9985,0.998050563204005
IMDB Movie Reviews,adaboost,0,0.8843045008446022,0.7935,0.7929026875968997
IMDB Movie Reviews,adaboost,1,0.8781672582382468,0.7975,0.7963920367846026
IMDB Movie Reviews,adaboost,2,0.8808495827995187,0.797,0.7962359479327169
IMDB Movie Reviews,adaboost,3,0.8936621331181074,0.8145,0.8140409523458829
IMDB Movie Reviews,adaboost,4,0.8807720734208839,0.799,0.79857074642474
MNIST,adaboost,0,0.9534566215498937,0.768,0.7686429336776738
MNIST,adaboost,1,0.9536799149896673,0.7755,0.7760817247639605
MNIST,adaboost,2,0.9505646920780452,0.7695,0.7708072643475626
MNIST,adaboost,3,0.9541859214934736,0.7655,0.7670938108728965
MNIST,adaboost,4,0.9489296181969162,0.7765,0.776668582823373
HIGGS,adaboost,0,0.7567191383595692,0.6825,0.6815666898531331
HIGGS,adaboost,1,0.7336988777585298,0.668,0.6664399961146816
HIGGS,adaboost,2,0.7290894027265196,0.666,0.6639397411161387
HIGGS,adaboost,3,0.7525123647410309,0.692,0.691405991953093
HIGGS,adaboost,4,0.7653109387160755,0.695,0.6942723442830075
Adult Income,gbm,0,0.9291852882273978,0.8735796908588391,0.8696717961816532
Adult Income,gbm,1,0.9263347979627573,0.8735796908588391,0.8698847116573466
Adult Income,gbm,2,0.9273184643751755,0.8733619983619983,0.8689857661666436
Adult Income,gbm,3,0.9304402960524516,0.8758190008190008,0.8719309903257062
Adult Income,gbm,4,0.931111914969308,0.8794021294021294,0.875931072831745
Heart Disease,gbm,0,0.8961038961038961,0.8360655737704918,0.8344442442803099
Heart Disease,gbm,1,0.9588744588744589,0.9016393442622951,0.9017983323911815
Heart Disease,gbm,2,0.9036796536796537,0.8360655737704918,0.8354405514482659
Heart Disease,gbm,3,0.8945005611672279,0.8833333333333333,0.8824381926683718
Heart Disease,gbm,4,0.8877665544332211,0.7833333333333333,0.777586709414165
Mushroom,gbm,0,1.0,1.0,1.0
Mushroom,gbm,1,0.9999681473594161,0.9963076923076923,0.9963071461083295
Mushroom,gbm,2,0.9999135428327008,0.984,0.9839865724918356
Mushroom,gbm,3,1.0,1.0,1.0
Mushroom,gbm,4,0.9997145039582204,0.9950738916256158,0.9950729037921692
Telco Customer Churn,gbm,0,0.863175230566535,0.8147622427253371,0.8074555299344744
Telco Customer Churn,gbm,1,0.8599679661060735,0.8055358410220014,0.7977470593355943
Telco Customer Churn,gbm,2,0.8344893952310832,0.7906316536550745,0.7821181701164284
Telco Customer Churn,gbm,3,0.8432904637940191,0.8139204545454546,0.8059757988951411
Telco Customer Churn,gbm,4,0.8451279491926892,0.8011363636363636,0.7926862909421047
Breast Cancer,gbm,0,0.9891909597117589,0.9298245614035088,0.9303669802525637
Breast Cancer,gbm,1,0.9832951195545365,0.9473684210526315,0.947107351712615
Breast Cancer,gbm,2,0.9986772486772486,0.9824561403508771,0.9824561403508771
Breast Cancer,gbm,3,0.9874338624338624,0.9912280701754386,0.9912054752585661
Breast Cancer,gbm,4,0.9993293091884642,0.9823008849557522,0.9823008849557522
Credit Card Fraud,gbm,0,1.0,1.0,1.0
Credit Card Fraud,gbm,1,1.0,1.0,1.0
Credit Card Fraud,gbm,2,0.8326656651644133,0.9985,0.9977505629221917
Credit Card Fraud,gbm,3,1.0,0.9995,0.9995277151368357
Credit Card Fraud,gbm,4,0.875250501002004,0.9985,0.998050563204005
IMDB Movie Reviews,gbm,0,0.9225751315909224,0.842,0.8418577110694184
IMDB Movie Reviews,gbm,1,0.9212724739693502,0.8495,0.8493947894914424
IMDB Movie Reviews,gbm,2,0.9230796926428099,0.853,0.8529814770923775
IMDB Movie Reviews,gbm,3,0.9285883591914621,0.854,0.8539430471856168
IMDB Movie Reviews,gbm,4,0.9195732683654723,0.8385,0.8384635373549933
MNIST,gbm,0,0.9953524222288308,0.929,0.9290445517367011
MNIST,gbm,1,0.9949016463217243,0.9215,0.9215218982121162
MNIST,gbm,2,0.9950478005165657,0.924,0.9239868922497408
